0 3.844 0.769
5 3.843 0.769
10 3.843 0.769
15 3.841 0.768
20 3.835 0.767
25 3.835 0.767
30 3.834 0.767
35 3.831 0.766
40 3.832 0.766
45 3.831 0.766
50 3.791 0.758
55 3.669 0.734
60 3.825 0.765
65 3.832 0.766
70 3.842 0.768
75 3.846 0.769
80 3.849 0.770
85 3.849 0.770
90 3.850 0.770
95 3.851 0.770
100 3.850 0.770
105 3.850 0.770
110 3.851 0.770
115 3.851 0.770
120 3.850 0.770
125 3.851 0.770
130 3.851 0.770
135 3.850 0.770
140 3.849 0.770
145 3.850 0.770
150 3.850 0.770
155 3.848 0.770
160 3.847 0.769
165 3.847 0.769
170 3.846 0.769
175 3.846 0.769
180 3.845 0.769
185 3.845 0.769
190 3.843 0.769
195 3.843 0.769
200 3.842 0.768
205 3.840 0.768
210 3.839 0.768
215 3.833 0.767
220 3.842 0.768
225 3.844 0.769
230 3.844 0.769
235 3.845 0.769
240 3.845 0.769
245 3.845 0.769
250 3.845 0.769
255 3.846 0.769
260 3.846 0.769
265 3.846 0.769
270 3.844 0.769
275 3.843 0.769
280 3.843 0.769
285 3.841 0.768
290 3.841 0.768
295 3.841 0.768
300 3.841 0.768
305 3.842 0.768
310 3.842 0.768
315 3.841 0.768
320 3.842 0.768
325 3.841 0.768
330 3.841 0.768
335 3.840 0.768
340 3.840 0.768
345 3.839 0.768
350 3.839 0.768
355 3.838 0.768
360 3.838 0.768
365 3.838 0.768
370 3.837 0.767
375 3.837 0.767
380 3.836 0.767
385 3.836 0.767
390 3.836 0.767
395 3.835 0.767
400 3.835 0.767
405 3.835 0.767
410 3.834 0.767
415 3.834 0.767
420 3.834 0.767
425 3.833 0.767
430 3.833 0.767
435 3.832 0.766
440 3.831 0.766
445 3.832 0.766
450 3.831 0.766
455 3.831 0.766
460 3.830 0.766
465 3.830 0.766
470 3.830 0.766
475 3.829 0.766
480 3.829 0.766
485 3.828 0.766
490 3.828 0.766
495 3.828 0.766
500 3.827 0.765
505 3.827 0.765
510 3.827 0.765
515 3.826 0.765
520 3.826 0.765
525 3.825 0.765
530 3.825 0.765
535 3.825 0.765
540 3.824 0.765
545 3.824 0.765
550 3.823 0.765
555 3.823 0.765
560 3.823 0.765
565 3.823 0.765
570 3.822 0.764
575 3.822 0.764
580 3.821 0.764
585 3.821 0.764
590 3.820 0.764
595 3.820 0.764
600 3.820 0.764
605 3.819 0.764
610 3.819 0.764
615 3.819 0.764
620 3.818 0.764
625 3.817 0.763
630 3.817 0.763
635 3.817 0.763
640 3.816 0.763
645 3.816 0.763
650 3.815 0.763
655 3.815 0.763
660 3.815 0.763
665 3.814 0.763
670 3.814 0.763
675 3.813 0.763
680 3.813 0.763
685 3.812 0.762
690 3.812 0.762
695 3.811 0.762
700 3.811 0.762
705 3.811 0.762
710 3.810 0.762
715 3.810 0.762
720 3.809 0.762
725 3.809 0.762
730 3.809 0.762
735 3.808 0.762
740 3.808 0.762
745 3.807 0.761
750 3.806 0.761
755 3.806 0.761
760 3.805 0.761
765 3.806 0.761
770 3.805 0.761
775 3.805 0.761
780 3.804 0.761
785 3.804 0.761
790 3.804 0.761
795 3.804 0.761
800 3.803 0.761
805 3.803 0.761
810 3.803 0.761
815 3.802 0.760
820 3.802 0.760
825 3.802 0.760
830 3.801 0.760
835 3.801 0.760
840 3.801 0.760
845 3.800 0.760
850 3.800 0.760
855 3.799 0.760
860 3.799 0.760
865 3.799 0.760
870 3.798 0.760
875 3.798 0.760
880 3.798 0.760
885 3.797 0.759
890 3.797 0.759
895 3.796 0.759
