0 4.052 0.810
5 4.049 0.810
10 4.047 0.809
15 4.045 0.809
20 4.044 0.809
25 4.042 0.808
30 4.041 0.808
35 4.039 0.808
40 4.038 0.808
45 4.037 0.807
50 4.036 0.807
55 4.035 0.807
60 4.033 0.807
65 4.032 0.806
70 4.031 0.806
75 4.031 0.806
80 4.030 0.806
85 4.029 0.806
90 4.028 0.806
95 4.028 0.806
100 4.027 0.805
105 4.026 0.805
110 4.026 0.805
115 4.025 0.805
120 4.024 0.805
125 4.023 0.805
130 4.023 0.805
135 4.022 0.804
140 4.022 0.804
145 4.021 0.804
150 4.020 0.804
155 4.020 0.804
160 4.019 0.804
165 4.019 0.804
170 4.018 0.804
175 4.018 0.804
180 4.018 0.804
185 4.016 0.803
190 4.016 0.803
195 4.015 0.803
200 4.015 0.803
205 4.015 0.803
210 4.014 0.803
215 4.013 0.803
220 4.013 0.803
225 4.013 0.803
230 4.012 0.802
235 4.012 0.802
240 4.011 0.802
245 4.011 0.802
250 4.010 0.802
255 4.010 0.802
260 4.010 0.802
265 4.009 0.802
270 4.008 0.802
275 4.008 0.802
280 4.008 0.802
285 4.007 0.801
290 4.007 0.801
295 4.006 0.801
300 4.006 0.801
305 4.006 0.801
310 4.005 0.801
315 4.005 0.801
320 4.004 0.801
325 4.004 0.801
330 4.004 0.801
335 4.003 0.801
340 4.003 0.801
345 4.002 0.800
350 4.002 0.800
355 4.002 0.800
360 4.001 0.800
365 4.001 0.800
370 4.001 0.800
375 4.000 0.800
380 4.000 0.800
385 3.999 0.800
390 3.999 0.800
395 3.999 0.800
400 3.998 0.800
405 3.998 0.800
410 3.998 0.800
415 3.997 0.799
420 3.997 0.799
425 3.996 0.799
430 3.996 0.799
435 3.996 0.799
440 3.995 0.799
445 3.995 0.799
450 3.995 0.799
455 3.994 0.799
460 3.994 0.799
465 3.994 0.799
470 3.994 0.799
475 3.993 0.799
480 3.993 0.799
485 3.992 0.798
490 3.992 0.798
495 3.991 0.798
500 3.991 0.798
505 3.991 0.798
510 3.990 0.798
515 3.990 0.798
520 3.990 0.798
525 3.989 0.798
530 3.989 0.798
535 3.989 0.798
540 3.988 0.798
545 3.988 0.798
550 3.988 0.798
555 3.987 0.797
560 3.987 0.797
565 3.987 0.797
570 3.986 0.797
575 3.986 0.797
580 3.986 0.797
585 3.986 0.797
590 3.985 0.797
595 3.985 0.797
600 3.984 0.797
605 3.984 0.797
610 3.984 0.797
615 3.983 0.797
620 3.983 0.797
625 3.983 0.797
630 3.982 0.796
635 3.982 0.796
640 3.982 0.796
645 3.982 0.796
650 3.981 0.796
655 3.981 0.796
660 3.981 0.796
665 3.980 0.796
670 3.980 0.796
675 3.980 0.796
680 3.979 0.796
685 3.979 0.796
